Bangladesh medical journal,Bangladesh Med J
Clinical dysmorphology,Clin Dysmorphol
Shikai tenbo = Dental outlook,Shikai Tenbo
Meddelelser fra Norsk farmaceutisk selskap,Medd Nor Farm Selsk
Sleep medicine reviews,Sleep Med Rev
Ons Amsterdam,Ons Amst
Feminism \& psychology,Fem Psychol
Vestnik Leningradskogo universiteta. Biologiia,Vestn Leningr Univ Biol
The Journal of clinical dysmorphology,J Clin Dysmorphol
International journal of nanomanufacturing,Int J Nanomanuf
"Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology",Acta Pathol Microbiol Immunol Scand C
Drake law review,Drake Law Rev
"Community development (Columbus, Ohio)",Community Dev (Columb)
Estudios publicos / Centro de Estudios Publicos,Estud Publicos
Drug delivery and translational research,Drug Deliv Transl Res
Canadian journal of psychiatry,Can J Psychiatry
Canadian journal of philosophy,Can J Philos
Journal of advanced pharmaceutical technology \& research,J Adv Pharm Technol Res
Development directions,Dev Dir
Current surgery,Curr Surg
Acta medica Italica di malattie infettive e parassitarie,Acta Med Ital Mal Infett Parassit
Revista latinoamericana de cirugia plastica,Rev Latinoam Cir Plast
Victorian studies,Vic Stud
Pharmaceutical historian,Pharm Hist (Lond)
Physiological chemistry and physics and medical NMR,Physiol Chem Phys Med NMR
Advances in health care management,Adv Health Care Manag
The Journal of Nihon University School of Dentistry,J Nihon Univ Sch Dent
Ceska a Slovenska farmacie : casopis Ceske farmaceuticke spolecnosti a Slovenske farmaceuticke spolecnosti,Ceska Slov Farm
The Australian journal of mental retardation,Aust J Ment Retard
The National engineer,Natl Eng
"Tissue engineering. Part C, Methods",Tissue Eng Part C Methods
Vaccine \& immunization news : the newsletter of the Global Programme for Vaccines and Immunization,Vaccine Immun News
Operative dentistry,Oper Dent
Microbiological reviews,Microbiol Rev
The Seoul journal of medicine,Seoul J Med
Confinia psychiatrica. Borderland of psychiatry. Grenzgebiete der Psychiatrie. Les Confins de la psychiatrie,Confin Psychiatr
Curare,Curare
AMIA Summits on Translational Science proceedings AMIA Summit on Translational Science,AMIA Summits Transl Sci Proc
Curso Internacional de Oftalmologia. Curso Internacional de Oftalmologia,Curso Int Oftalmol
Revue de la Societe de biometrie humaine,Rev Soc Biom Hum
SPVN : journal of the Society for Peripheral Vascular Nursing,SPVN
A.M.A. archives of general psychiatry,AMA Arch Gen Psychiatry
Oncology,Oncology (Williston Park)
Cerebral cortex,Cereb Cortex
Sexual health,Sex Health
NAPT bulletin,NAPT Bull
"Monthly health bulletin. United States. Army. Army, Second",Mon Heath Bull
"International journal of control, automation, and systems",Int J Control Autom Syst
Washburn law journal,Washburn Law J
Africana notes and news. Africana aantekeninge en nuus,Afr Notes News
Die Arztliche Fortbildung,Arztl Fortbild
Current opinion in plant biology,Curr Opin Plant Biol
Medical toxicology and adverse drug experience,Med Toxicol Adverse Drug Exp
"Foot (Edinburgh, Scotland)",Foot (Edinb)
Polski przeglad chirurgiczny,Pol Przegl Chir
Journal of psychosocial oncology,J Psychosoc Oncol
Italia medioevale e umanistica,Ital Medioev Um
Centre calling,Cent Call
The British journal of sports history,Br J Sports Hist
Home health care services quarterly,Home Health Care Serv Q
Lung India : official organ of Indian Chest Society,Lung India
Journal Of Rural Development,J Rural Dev
Jyske samlinger,Jyske Saml
World environment report,World Environ Rep
Sri Lanka population digest,Sri Lanka Popul Dig
Senefiance,Senefiance
Department of State publication. Background notes series,Backgr Notes Ser
[Ochanomizu igaku zasshi] : the Ochanomizu medical journal,Ochanomizu Igaku Zasshi
Boletin. Sociedad Cubana de Dermatologia y Sifilografia,Bol Soc Cubana Dermatol Sifilogr
NYO [reports]. U.S. Atomic Energy Commission,NYO Rep
Tissue \& cell,Tissue Cell
"Trauma, violence \& abuse",Trauma Violence Abuse
Current medicinal chemistry. Anti-inflammatory \& anti-allergy agents,Curr Med Chem Anti Inflamm Anti Allergy Agents
The Expository times,Expo Times
Neurology \& clinical neurophysiology : NCN,Neurol Clin Neurophysiol
Biomedicine \& pharmacotherapy = Biomedecine \& pharmacotherapie,Biomed Pharmacother
"Current medicinal chemistry. Immunology, endocrine \& metabolic agents",Curr Med Chem Immunol Endocr Metab Agents
Bulletin d'etudes orientales / Institut francais de Damas,Bull Etud Orient
Histoire et nature,Hist Nat
Zentralblatt fur Arbeitswissenschaft,Zent Arbeitswissenschaft
Australian prosthodontic journal / Australian Prosthodontic Society,Aust Prosthodont J
Alcohol and drug research,Alcohol Drug Res
Stain technology,Stain Technol
Atencion primaria / Sociedad Espanola de Medicina de Familia y Comunitaria,Aten Primaria
Genome biology and evolution,Genome Biol Evol
LTC regulatory risk \& liability advisor,LTC Regul Risk Liabil Advis
Aichi-Gakuin dental science,Aichi Gakuin Dent Sci
Sudhoffs Archiv fur Geschichte der Medizin und der Naturwissenschaften,Sudhoffs Arch Gesch Med Naturwiss
Comparative medicine,Comp Med
Revue philosophique de la France et de l'etranger,Rev Philos France Let
Journal of avian medicine and surgery,J Avian Med Surg
Michigan compiled laws annotated. Michigan,Mich Compil Laws Annot Mich
Smithsonian studies in history and technology. Smithsonian Institution,Smithson Stud Hist Technol
Current topics in membranes,Curr Top Membr
Contemporary topics in molecular immunology,Contemp Top Mol Immunol
Cultura medica,Cult Med (Rio J)
Concern in care of the aging,Concern Care Aging
"Challenge (Atlanta, Ga.)",Challenge (Atlanta Ga)
Health data management,Health Data Manag
Seminars in dental hygiene,Semin Dent Hyg
Illinois bar journal,Ill Bar J
National Federation of Catholic Physicians' Guilds newsletter,Natl Fed Cathol Physicians Guild Newsl
GMS Zeitschrift fur medizinische Ausbildung,GMS Z Med Ausbild
Gender medicine,Gend Med
Seminars in urology,Semin Urol
Bruxelles medical,Brux Med
Advanced engineering materials,Adv Eng Mater
Vulnerable children and youth studies,Vulnerable Child Youth Stud
Revue du rhumatisme et des maladies osteo-articulaires,Rev Rhum Mal Osteoartic
Chinese science,Chin Sci
Journal of neuropathology and experimental neurology,J Neuropathol Exp Neurol
Animal : an international journal of animal bioscience,Animal
Healthcare leadership \& management report,Healthc Leadersh Manag Rep
Historisch-demographische Mitteilungen. Communication de demographie historique,Hist Demogr Mitt
Medical world news,Med World News
Soviet genetics,Sov Genet
"Sante (Montrouge, France)",Sante
Economics letters,Econ Lett
Studies in surface science and catalysis,Stud Surf Sci Catal
Journal of the Medical Association for Prevention of War,J Med Assoc Prev War
Protesis,Protesis (B Aires)
Bangladesh Development Studies,Bangladesh Dev Stud
Journal of biosciences,J Biosci
Fiziolohichnyi zhurnal,Fiziol Zh
Bibliotek for laeger,Bibl Laeger
The Pan-Pacific entomologist,Pan-Pac Entomol
Analele Universitatii Bucuresti: Istorie. Universitatea din Bucuresti,An Univ Bucur Istor
Biotechnic \& histochemistry : official publication of the Biological Stain Commission,Biotech Histochem
Janasamkhya,Janasamkhya
Journal of trauma management \& outcomes,J Trauma Manag Outcomes
Szazadok,Szazadok
Current psychiatry reviews,Curr Psychiatry Rev
World journal of cardiology,World J Cardiol
"Photodermatology, photoimmunology \& photomedicine",Photodermatol Photoimmunol Photomed
IIPS newsletter,IIPS Newsl
Expert review of endocrinology \& metabolism,Expert Rev Endocrinol Metab
"Scientist (Philadelphia, Pa.)",Scientist
Psychological monographs,Psychol Monogr
Biochemical clinics,Biochem Clin
Acta medica Vietnamica,Acta Med Vietnam
Biological magnetic resonance,Biol Magn Reson
The Guthrie journal of the Donald Guthrie Foundation for Medical Research,Guthrie J Donald Guthrie Found Med Res
Journal of neurogastroenterology and motility,J Neurogastroenterol Motil
Ophthalmology,Ophthalmology
Advances in therapy,Adv Ther
Indian journal of environmental health,Indian J Environ Health
Travelers Standard,Travel Stand
Journal of lower genital tract disease,J Low Genit Tract Dis
Archivio storico per le province Parmensi,Arch Stor Prov Parm
Bulletin. Vancouver Medical Association,Bull Vanc Med Assoc
Przeglad dermatologiczny,Przegl Dermatol
New York supplement. Second series,N Y Suppl Second Ser
Applied and theoretical electrophoresis : the official journal of the International Electrophoresis Society,Appl Theor Electrophor
Bulletin / Monmouth-Ocean County Dental Society,Bull Monmouth Ocean Cty Dent Soc
Commercial law journal,Commer Law J
Scandinavian journal of dental research,Scand J Dent Res
Harvey lectures,Harvey Lect
"New republic (New York, N.Y.)",New Repub
Rassegna di neurologia vegetativa,Rass Neurol Veg
Magnetic resonance annual,Magn Reson Annu
Revue d'hygiene et de medecine sociale,Rev Hyg Med Soc
Biochimica clinica,Biochim Clin
Naika. Internal medicine,Naika
German journal of ophthalmology,Ger J Ophthalmol
"Materials today (Kidlington, England)",Mater Today (Kidlington)
The Seventeenth century,Seventeenth Century
"The journal of investigative dermatology. Symposium proceedings / the Society for Investigative Dermatology, Inc. [and] European Society for Dermatological Research",J Investig Dermatol Symp Proc
"Archivos. Havana. Universidad. Hospital Universitario ""General Calixto Garcia""",Arch Hosp Univ
Journal of periodontology,J Periodontol
Bulletin of war medicine,Bull War Med
Current opinion in colloid \& interface science,Curr Opin Colloid Interface Sci
Technical report. New York Naval Shipyard. Material Laboratory,Tech Rep NY Nav Shipyard Mater Lab
Journal of analytical and applied pyrolysis,J Anal Appl Pyrolysis
Bulletin du Groupement international pour la recherche scientifique en stomatologie,Bull Group Int Rech Sci Stomatol
Science in context,Sci Context
Voprosy revmatizma,Vopr Revm
The Australian journal of advanced nursing : a quarterly publication of the Royal Australian Nursing Federation,Aust J Adv Nurs
Magnetic resonance imaging clinics of North America,Magn Reson Imaging Clin N Am
Kango kenkyu. The Japanese journal of nursing research,Kango Kenkyu
Berufs-Dermatosen,Berufsdermatosen
Annales de genetique,Ann Genet
The Economic history review,Econ Hist Rev
Viitorul social,Viitorul Soc
Race and social problems,Race Soc Probl
Kolner Zeitschrift fur Soziologie und Sozialpsychologie,Kolner Z Soz Sozpsychol
"Forum, qualitative social research / Forum, Qualitative Sozialforschung",Forum Qual Soc Res
Trajecta,Trajecta (Leuven)
Indian journal of community medicine : official publication of Indian Association of Preventive \& Social Medicine,Indian J Community Med
Southern California law review,South Calif Law Rev
Current separations,Curr Sep
The Journal of dairy research,J Dairy Res
Isis; an international review devoted to the history of science and its cultural influences,Isis
Computers \& chemical engineering,Comput Chem Eng
Newsletter - Family Planning Association of Hong Kong / Family Planning Association of Hong Kong,Newsl Fam Plan Assoc Hong Kong
Scanning electron microscopy,Scan Electron Microsc
Boletin chileno de parasitologia,Bol Chil Parasitol
BMC medical genomics,BMC Med Genomics
Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,Zhongguo Dang Dai Er Ke Za Zhi
Journal of the South Carolina Medical Association (1975),J S C Med Assoc
Heilkunde - Heilwege,Heilkd Heilwege
Canadian doctor,Can Doct
Phlebolymphology,Phlebolymphology
Audiological medicine,Audiol Med
Journal of liposome research,J Liposome Res
Ouest-medical,Ouest Med
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",Natl Vital Stat Rep
"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",Tanpakushitsu Kakusan Koso
Parallel computing,Parallel Comput
The ... Yale Workshop on Adaptive and Learning Systems,Yale Workshop Adapt Learn Syst
Advances in prostaglandin and thromboxane research,Adv Prostaglandin Thromboxane Res
Viata medicala; revista de informare profesionala si stiintifica a cadrelor medii sanitare,Viata Med Rev Inf Prof Stiint Cadrelor Medii Sanit
Journal of law and medicine,J Law Med
Critical sociology,Crit Sociol
Journal of agricultural \& environmental ethics,J Agric Environ Ethics
Journal of nanomedicine \& nanotechnology,J Nanomed Nanotechnol
Grenzgebiete der Wissenschaft,Grenzgeb Wiss
Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,Ophthalmologe
The Asia magazine,Asia Mag
"Statutes of California and digests of measures / compiled by Bion M. Gregory, legislative counsel. California",Statut Calif Dig Meas Calif
Journal of family psychology,J Fam Psychol
The clinical bulletin of the School of Medicine of Western Reserve University and its associated hospitals. Western Reserve University. School of Medicine,Clin Bull Sch Med West Reserve Univ Assoc Hosp
Clinical journal of gastroenterology,Clin J Gastroenterol
The Kuwait medical journal : KMJ : the official journal of the Kuwait Medical Association,Kuwait Med J
Revue du monde musulman et de la Mediterranee,Rev Monde Musulman Mediterr
Progress in neuro-psychopharmacology \& biological psychiatry,Prog Neuropsychopharmacol Biol Psychiatry
The Psychiatric quarterly,Psychiatr Q
Historical journal: Auckland-Waikato,Hist J Auckl Waikato
"Newsletter on science, technology \& human values",Newsl Sci Technol Human Values
Journal Of Nursing Ethics,J Nurs Ethics
"International peacekeeping (London, England)",Int Peacekeep
Urbi,Urbi
Endeavour,Endeavour
Journal of viral hepatitis,J Viral Hepat
Memphis medical journal,Memphis Med J
"Travaux scientifiques des chercheurs du Service de sante des armees durant l'annee ... / Republique Francaise, Ministere de la defense, Direction centrale du Service de sante des armees",Trav Sci Cherch Serv Sante Armees
Rivista degli infortuni e delle malattie professionali,Riv Infort Mal Prof
Human mutation,Hum Mutat
Journal of human nutrition and dietetics : the official journal of the British Dietetic Association,J Hum Nutr Diet
Revue historique des armees,Rev Hist Armees
Femina : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia,Femina
The Review of scientific instruments,Rev Sci Instrum
The Turnbull Library record,Turnbull Libr Rec
Philosophy and phenomenological research,Philos Phenomenol Res
New review of bioethics,New Rev Bioeth
Zahnarztliche Rundschau,Zahnarztl Rundsch
Prostaglandins and medicine,Prostaglandins Med
NeoReviews,Neoreviews
Social behaviour,Soc Behav
New directions for child and adolescent development,New Dir Child Adolesc Dev
